document_id,pdf_page,printed_page,image_path,width,height,source_pdf_basename
cordis_migration_2020,2,3,images/cordis_migration_2020/page_0002.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,3,4,images/cordis_migration_2020/page_0003.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,4,5,images/cordis_migration_2020/page_0004.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,5,6,images/cordis_migration_2020/page_0005.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,6,7,images/cordis_migration_2020/page_0006.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,7,8,images/cordis_migration_2020/page_0007.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,8,9,images/cordis_migration_2020/page_0008.jpg,1191,1684,cordis_migration_2020.pdf
cordis_migration_2020,9,10,images/cordis_migration_2020/page_0009.jpg,1191,1684,cordis_migration_2020.pdf
iaea_bulletin_35_4_1993,8,7,images/iaea_bulletin_35_4_1993/page_0008.jpg,1100,1562,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,9,8,images/iaea_bulletin_35_4_1993/page_0009.jpg,1128,1588,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,10,9,images/iaea_bulletin_35_4_1993/page_0010.jpg,1084,1588,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,12,11,images/iaea_bulletin_35_4_1993/page_0012.jpg,1086,1590,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,13,12,images/iaea_bulletin_35_4_1993/page_0013.jpg,1090,1562,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,14,13,images/iaea_bulletin_35_4_1993/page_0014.jpg,1108,1562,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,15,14,images/iaea_bulletin_35_4_1993/page_0015.jpg,1114,1598,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,16,15,images/iaea_bulletin_35_4_1993/page_0016.jpg,1082,1588,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,17,16,images/iaea_bulletin_35_4_1993/page_0017.jpg,1114,1586,iaea_bulletin_35_4_1993.pdf
iaea_bulletin_35_4_1993,18,17,images/iaea_bulletin_35_4_1993/page_0018.jpg,1092,1588,iaea_bulletin_35_4_1993.pdf
